post_title,sku,stock,regular_price,sale_price,whole_price,weight,product_url,low_stock_amount,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_brand,attribute_data:pa_brand,attribute_default:pa_brand,attribute:pa_gift-card-amount,attribute_data:pa_gift-card-amount,attribute_default:pa_gift-card-amount,attribute:pa_line,attribute_data:pa_line,attribute_default:pa_line,attribute:pa_number,attribute_data:pa_number,attribute_default:pa_number
Nior No Transfer Matte Lipstick Pencil - 8,L2608,4,350,320,,,,1,simple,rated-5,Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lipstick,,,Nior,0|1|0,,,,,Nior Lipstick,1|1|0,,20,2|0|0,
Nior No Transfer Matte Lipstick Pencil - 10,L26010,2,350,320,,,,1,simple,rated-5,Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lipstick,,,Nior,0|1|0,,,,,Nior Lipstick,1|1|0,,20,2|0|0,
Nior No Transfer Matte Lipstick Pencil - 11,L26011,3,350,320,,,,1,simple,rated-5,Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lipstick,,,Nior,0|1|0,,,,,Nior Lipstick,1|1|0,,20,2|0|0,
Nior No Transfer Matte Lipstick Pencil - 17,L26017,4,350,320,,,,1,simple,rated-5,Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lipstick,,,Nior,0|1|0,,,,,Nior Lipstick,1|1|0,,20,2|0|0,
Nior No Transfer Matte Lipstick Pencil - 19,L26019,3,350,320,,,,1,simple,rated-5,Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lipstick,,,Nior,0|1|0,,,,,Nior Lipstick,1|1|0,,20,2|0|0,
Nior No Transfer Matte Lipstick Pencil - 23,L26023,4,350,320,,,,1,simple,rated-5,Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lipstick,,,Nior,0|1|0,,,,,Nior Lipstick,1|1|0,,20,2|0|0,
L'Oreal Paris Hydra Genius Aloe Water for Dry and Sensitive Skin,CF3701,0,1450,1190,,,,1,simple,outofstock|rated-5,Cosmetics|Cosmetics > Skin &amp; Personal Care > Face Care|Cosmetics > Skin &amp; Personal Care > Face Care > Moisturizer|Cosmetics > Skin &amp; Personal Care,,,L'Oreal,0|1|0,,,,,L'Oreal Moisturizer,1|1|0,,20,2|0|0,
Bourjois Paris Express Cleansing Wipes,F2901,2,350,320,,,,1,simple,rated-5,Cosmetics|Cosmetics > Skin &amp; Personal Care > Face Care|Cosmetics > Skin &amp; Personal Care > Face Care > Facial Wipes|Cosmetics > Skin &amp; Personal Care,,,Bourjois Paris,0|1|0,,,,,Bourjois Paris Makeup Remover,1|1|0,,20,2|0|0,
L'Oreal Elvive Extra Ordinary Hair Mask With Fine Coconut Oil,H7401,3,1450,1250,,,,1,simple,rated-5,Cosmetics|Cosmetics > Hair|Cosmetics > Hair > Hair Care > Hair Cream &amp; Masks,,,L'Oreal,0|1|0,,,,,L'Oreal Hair Mask,1|1|0,,20,2|0|0,
L'Oreal Paris Revitalift Filler Overnight Mask,CF5401,1,2200,1890,,,,1,simple,rated-5,Cosmetics|Cosmetics > Skin &amp; Personal Care > Face Care|Cosmetics > Skin &amp; Personal Care > Face Care > Masks &amp; Peels|Cosmetics > Skin &amp; Personal Care,,,L'Oreal,0|1|0,,,,,L'Oreal Face Masks &amp; Peels,1|1|0,,20,2|0|0,
